post_id|creator_name|hashtags|caption|likes|comments|shares|date
P001|wanderlust_vibes|#travel #explore #adventure #wanderlust #photography|Chasing sunsets at the edge of the world 🌅 Every journey begins with a single step. Where will you go next?|45230|1203|892|2024-11-15
P002|fitlife_coach|#fitness #workout #gym #health #motivation|No days off when you love what you do 💪 5AM club checking in. Your body is your temple — treat it right.|32100|876|445|2024-11-18
P003|foodie_paradise|#food #foodphotography #instafood #delicious #yummy|Homemade ramen that took 12 hours of love ❤️ Worth every minute. Recipe in bio!|61450|2341|1876|2024-11-10
P004|techie_talks|#technology #AI #innovation #coding #future|The next wave of AI isn't coming — it's already here. Thread on what changes in 2025 👇|28900|934|2100|2024-11-20
P005|nature_soul|#nature #wildlife #forest #earth #green|Found this hidden waterfall after a 3-hour hike 🌿 Some things are worth the effort.|55600|1789|3201|2024-11-08
P006|urban_streets|#streetphotography #city #urban #blackandwhite #art|Cities have their own heartbeat. You just have to listen 🖤 Shot on a rainy Tuesday in NYC.|22300|567|234|2024-11-22
P007|beauty_guru99|#beauty #makeup #skincare #glam #tutorial|Full glam in 10 minutes — yes, it's possible ✨ Linked every product used in my stories!|47800|1920|1103|2024-11-14
P008|chef_marco|#cooking #recipe #italianfood #pasta #homecook|Nonna's secret cacio e pepe recipe finally revealed 🍝 Don't tell her I posted this.|39200|1456|2340|2024-11-17
P009|surf_life|#surfing #ocean #waves #beach #lifestyle|The ocean doesn't care about your Monday mood 🌊 Paddle out anyway.|44100|1102|876|2024-11-09
P010|minimalist_home|#homedecor #interior #minimalism #design #cozy|Less stuff, more life 🏠 Decluttered my entire apartment this weekend and it changed everything.|31700|889|765|2024-11-21
P011|plant_mama|#plants #gardening #urbangarden #greenthumb #botany|My monstera just grew a new leaf and I'm unreasonably emotional about it 🌱|52300|2100|1456|2024-11-13
P012|travel_couple|#couples #travel #love #adventure #wanderlust|Exploring Santorini together — some views are better when shared 💑|68900|3201|2890|2024-11-05
P013|daily_yoga|#yoga #mindfulness #wellness #meditation #breathe|Morning flow to set the intention for the day 🧘 10 minutes is all you need.|29400|756|543|2024-11-19
P014|street_eats|#streetfood #foodie #travel #culture #taste|This $2 taco in Mexico City changed my whole understanding of food 🌮|58700|2456|3100|2024-11-07
P015|fashion_forward|#fashion #style #ootd #outfitoftheday #trendy|Quiet luxury isn't just an aesthetic — it's a lifestyle 👗 Full look linked below.|41200|1334|987|2024-11-16
P016|coffee_culture|#coffee #coffeeshop #latte #barista #mornings|Art in a cup ☕ This barista spent 8 minutes on this pour. Tasted like heaven.|36500|1102|876|2024-11-11
P017|hiking_trails|#hiking #mountains #outdoors #trek #nature|Summit at 5,000m — lungs burning, legs shaking, soul soaring ⛰️|49800|1678|2345|2024-11-06
P018|digital_nomad|#remotework #nomad #laptop #freedom #travel|Working from a beach in Bali is still working. But wow, what an office 💻|37600|1230|1890|2024-11-23
P019|bookworm_reads|#books #reading #booklover #literature #fiction|Just finished a book so good I immediately started it again 📚 Name it in comments!|24500|3456|1234|2024-11-18
P020|pet_stories|#dogs #cats #pets #animals #cute|My dog learned to bring me coffee every morning ☕🐾 Training update in stories!|72300|4502|5678|2024-11-04
P021|wellness_zone|#wellness #selfcare #mentalhealth #mindfulness #healing|Rest is not laziness. It's how you come back stronger 🌸 Take the break you deserve.|34100|1230|2100|2024-11-20
P022|astro_photos|#astrophotography #space #stars #milkyway #cosmos|6 hours in a field to capture this Milky Way 🌌 Every cold minute was worth it.|63400|2345|4102|2024-11-03
P023|retro_vibes|#vintage #retro #aesthetic #nostalgia #film|Found my grandma's Polaroid camera. These photos hit different 📷|29800|987|1102|2024-11-22
P024|ocean_diver|#diving #underwater #ocean #marinelife #scuba|Met a sea turtle today and she was NOT impressed by me 🐢 Absolutely humbling.|55200|1890|2340|2024-11-09
P025|comedy_daily|#funny #comedy #humor #memes #lol|POV: You said you'd sleep early and it's 3AM again 😂 Like if you can relate.|89100|5623|7890|2024-11-01
P026|art_studio|#art #painting #illustration #creative #artist|Three weeks on this piece. Oil on canvas, 24x36. Titled: The Weight of Quiet.|38700|1456|876|2024-11-15
P027|crypto_world|#crypto #bitcoin #blockchain #investing #finance|BTC at this level is a historical moment. Here's what the data says 📊|21300|2109|3456|2024-11-19
P028|dance_life|#dance #hiphop #choreography #movement #music|When the beat drops and your body just knows what to do 🎵 Full video on YouTube!|46900|1678|2890|2024-11-12
P029|mom_life_real|#momlife #parenting #kids #family #reallife|My toddler just explained quantum physics to me through snack choices 😂👶|64200|3890|4501|2024-11-08
P030|music_vibes|#music #newmusic #playlist #hiphop #indie|This EP dropped at midnight and I haven't slept since 🎧 Pure art from start to finish.|33400|1102|2345|2024-11-21
P031|vegan_kitchen|#vegan #plantbased #veganfood #healthyfood #cooking|Vegan lasagna so rich and cheesy, even meat-lovers asked for seconds 🧀🌿|42100|1567|2100|2024-11-14
P032|travel_solo|#solotravel #adventure #backpacker #freedom #explore|Traveling alone taught me more about myself than any therapy session 🎒|51800|2234|3456|2024-11-07
P033|sneaker_head|#sneakers #shoes #kicks #streetwear #hypebeast|The grail finally arrived. 3-year hunt, worth every second 👟🔥|47500|1890|1234|2024-11-16
P034|meditation_life|#meditation #spirituality #peace #innerpeace #zen|The quieter you become, the more you hear 🕊️ 30-day meditation challenge — day 21.|27600|876|1102|2024-11-18
P035|landscape_shots|#landscape #photography #sunset #goldenhour #nature|No filter. No edit. Just the sky doing what it does best 🌇|60300|2100|3890|2024-11-05
P036|gaming_zone|#gaming #gamer #videogames #twitch #esports|Hit Diamond rank after 847 games. Character development arc complete 🎮|35600|2345|1678|2024-11-20
P037|cocktail_lab|#cocktails #bartender #drinks #mixology #nightlife|Smoked rosemary negroni — this cocktail makes you feel things 🍹|28900|876|543|2024-11-22
P038|architecture_eye|#architecture #buildings #design #urban #cityscape|This building is 140 years old and still the most beautiful in the city 🏛️|41200|1102|876|2024-11-13
P039|baby_steps_fit|#weightloss #fitness #transformation #progress #health|Down 42lbs in 8 months. Sharing my full plan in stories 💪 You CAN do this.|58400|4501|6789|2024-11-02
P040|crochet_magic|#crochet #knitting #handmade #diy #craft|Made this sweater in 2 weeks! Pattern available in bio 🧶❤️|31400|1456|2100|2024-11-17
P041|city_explorer|#cityguide #travel #localguide #hidden #gems|5 spots in Tokyo that tourists always miss 🗼 Save this for your trip!|49300|1890|4502|2024-11-10
P042|science_explain|#science #facts #learning #education #curiosity|Black holes don't suck — they warp space. Thread on why this matters 🔭|38200|2345|3890|2024-11-15
P043|wedding_moments|#wedding #love #bride #photography #romance|The moment she saw him waiting at the altar 💍 This is why I love my job.|74600|3456|5678|2024-11-03
P044|entrepreneur_talk|#entrepreneur #startup #business #hustle #success|3 years ago I had $200 and an idea. Here's what changed 💡 Thread below.|44800|2890|5100|2024-11-08
P045|road_tripper|#roadtrip #car #travel #freedom #highway|America is best experienced at 70mph with good music and no agenda 🚗|36900|1234|1890|2024-11-19
P046|sunset_chaser|#sunset #sky #colors #photography #goldenHour|I drove 3 hours for this sunset. Zero regrets 🧡|57800|2100|3100|2024-11-06
P047|baking_dreams|#baking #cake #pastry #dessert #sweettooth|Croissants that took 3 days, 73 layers, and all my patience 🥐|43500|1678|2340|2024-11-14
P048|finance_tips|#personalfinance #money #investing #savings #wealth|Here's how I saved $30K in 18 months on a regular salary 💰 Full breakdown in bio.|52100|3456|7890|2024-11-04
P049|street_art|#streetart #graffiti #mural #urban #art|This mural appeared overnight and the neighborhood hasn't been the same since 🎨|32800|987|1456|2024-11-21
P050|kids_activities|#parenting #kidsactivities #education #fun #family|50 screen-free activities for rainy days 🌧️ Save this for next weekend!|61200|4102|8901|2024-11-01
P051|running_daily|#running #marathon #fitness #cardio #runner|Mile 18 of 26. Legs dead. Spirit unbreakable 🏃 Boston Marathon training log.|28400|987|1102|2024-11-20
P052|film_nerd|#movies #cinema #filmreview #watchlist #screenwriting|This 1970s film predicted everything happening right now. Thread 🎬|24800|1890|3456|2024-11-18
P053|coastal_life|#beach #ocean #coast #summer #sun|The beach doesn't ask questions 🌊 Packed my bag, drove 2 hours, needed this.|48600|1456|2100|2024-11-11
P054|dark_academia|#darkacademia #aesthetic #books #poetry #vintage|Lit every candle, made strong tea, opened the oldest book on my shelf 📖🕯️|39400|1678|1890|2024-11-16
P055|mindful_eating|#nutrition #healthyeating #mealprep #wellness #food|Sunday meal prep for the week 🥦 Eating well doesn't have to be complicated.|34700|1230|2345|2024-11-17
P056|jazz_lounge|#jazz #music #livemusic #vinyl #soul|Vinyl crackle + jazz at midnight = the only therapy I need 🎷|21600|765|543|2024-11-22
P057|space_nerd|#space #nasa #astronomy #universe #science|NASA just released this new image of Jupiter. Your Monday problems are irrelevant 🪐|71400|3890|6789|2024-11-02
P058|pottery_studio|#pottery #ceramics #clay #handmade #art|The centering stage of pottery is basically life in metaphor 🏺|29700|1102|876|2024-11-19
P059|skate_culture|#skateboarding #skate #tricks #street #lifestyle|Landed my first kickflip after 6 months of trying 🛹 The fall videos are in my archive.|42900|2100|1678|2024-11-13
P060|tiny_homes|#tinyhome #minimalism #sustainable #homeliving #smallspace|Living in 200sqft. Everything I own has a purpose. Best decision I ever made 🏡|55800|3456|4890|2024-11-06
P061|travel_africa|#africa #safari #wildlife #nature #adventure|Watched a cheetah hunt at sunrise in Kenya 🐆 Some things you can't un-see.|63100|2345|4502|2024-11-04
P062|cocktail_hour|#drinks #cocktails #bartending #recipe #alcohol|The Aperol Spritz gets too much hate. Here's my upgraded version 🍊|27300|987|654|2024-11-21
P063|mindset_coach|#mindset #growth #motivation #selfimprovement #coaching|You don't rise to your goals. You fall to your systems. Build the system 🧠|44600|2890|5678|2024-11-09
P064|vintage_fashion|#vintagefashion #thrifting #sustainable #style #retro|Entire outfit: thrifted. Total cost: $24. Sustainability is stylish 🌿|38500|1678|2890|2024-11-15
P065|wild_birds|#birdwatching #birds #nature #wildlife #photography|Spent 4 hours waiting for this kingfisher to land 🐦 Patience rewarded.|26900|876|1102|2024-11-20
P066|startup_life|#startup #tech #founder #product #innovation|Just shipped our 1000th order 📦 What started in my garage 18 months ago...|51700|3102|4890|2024-11-07
P067|pastry_chef|#pastry #dessert #french #patisserie #baking|French tarte au citron — precision and patience in every layer 🍋|36400|1456|1890|2024-11-14
P068|social_impact|#nonprofit #charity #community #giveback #impact|1 year since we opened the community library. 3,000 kids now have access to books 📚|49200|4502|7890|2024-11-03
P069|climbing_life|#climbing #rockclimbing #bouldering #outdoors #fitness|V7 send after 2 months of training 🧗 The process is the prize.|33800|1102|876|2024-11-18
P070|food_science|#foodscience #cooking #chemistry #howto #learning|Why pasta water is liquid gold — the science explained 🍝|45600|2100|4502|2024-11-10
P071|travel_japan|#japan #tokyo #culture #travel #asia|Japan doesn't just change how you travel — it changes how you see the world 🗾|67900|3890|5678|2024-11-02
P072|luxury_travel|#luxurytravel #hotels #firstclass #travel #lifestyle|Stayed in an overwater bungalow in the Maldives. Here's an honest review 🏝️|58300|2345|3456|2024-11-08
P073|guitar_lessons|#guitar #music #learning #acoustic #musician|Year 1 vs Year 3 of learning guitar 🎸 The progress will surprise you.|41800|2890|3890|2024-11-12
P074|photography_tips|#photography #cameratips #photo #gear #howto|5 composition rules that instantly improve your photos 📷 Save this post!|53700|2100|5678|2024-11-06
P075|pilates_life|#pilates #core #strength #wellness #fitness|100 Pilates sessions in. My body is a different machine now 🤸|32600|1230|1456|2024-11-17
P076|comic_fan|#comics #marvel #anime #manga #geek|The best anime arcs, ranked by someone who takes this way too seriously 🗡️|29300|3102|2890|2024-11-20
P077|mothernature|#environment #climatechange #sustainability #earth #ecology|The coral reef I photographed 10 years ago is unrecognizable. We must act 🌊|44700|2456|6789|2024-11-05
P078|sewing_circle|#sewing #diy #fashion #handmade #crafts|Made my own blazer from scratch for $18 in fabric. The power of learning skills 🧵|37100|1890|3456|2024-11-15
P079|travel_india|#india #travel #culture #spices #incredible|India will overwhelm all five senses simultaneously and you'll love every second 🇮🇳|56800|3100|4502|2024-11-07
P080|boxing_daily|#boxing #martialarts #fitness #training #discipline|Every champion was once a beginner who refused to give up 🥊|40300|1678|2345|2024-11-16
P081|sunrise_yoga|#yoga #sunrise #morning #peace #practice|Sun salutations as the sun actually rises 🌅 This is what the alarm was for.|31200|1102|1456|2024-11-19
P082|travel_europe|#europe #paris #rome #travel #history|A 30-day solo trip across Europe changed who I am. Here's what I learned 🏰|64700|3456|5678|2024-11-01
P083|ocean_cleanup|#oceanclean #environment #sustainability #beach #volunteer|Collected 200lbs of plastic from this beach. Help us at next month's cleanup 🌊|48900|3890|9012|2024-10-28
P084|night_owl_photo|#nightphotography #longexposure #lightpainting #photo #dark|Light painting at 2AM. The city belongs to photographers after midnight 🌃|34200|1234|1890|2024-11-21
P085|zero_waste|#zerowaste #sustainable #eco #greenlife #minimalism|My household produced only one jar of trash in 6 months. Here's how 🌿|46100|2890|6789|2024-11-09
P086|food_travel|#foodtravel #taste #culture #street #world|Eating my way through Southeast Asia — one dish is all it takes to understand a culture 🍜|59400|2456|4102|2024-11-05
P087|tattoo_art|#tattoo #ink #bodyart #tattooartist #design|Just finished this 14-hour sleeve piece. The trust clients give me is everything 🎨|38600|2100|2890|2024-11-14
P088|mental_health_talk|#mentalhealth #therapy #anxiety #selfcare #awareness|It took me 6 years to finally ask for help. If this reaches one person: please go 💙|81200|7890|12300|2024-10-25
P089|macro_photography|#macro #photography #insects #closeup #details|The world is incredible at 1:1 magnification 🔬 A bee's eye, up close.|29700|1102|1456|2024-11-18
